row_index,id,school_name,telephone,address,city,state,zip,website,cc_score,avg_ACT,avg_math_SAT,avg_read_SAT,avg_write_SAT,avg_GPA,accept_rate,undergrad_population,graduate_population,region,usn_popular_majors,freshman_retention,student_faculty_ratio,school_type,school_setting,academic_calendar,campus_size,motto,affiliation,athletics,president,mascot,school_color,number_of_students,logo,qs_score,qs_rank,n_popular_majors,median_earn_6_years,graduation_rate,employment_rate,average_aid,application_fee,student_athletic_percentage,application_deadline,application_website,sat_min,sat_max,tuition_fees
780,8b1597dc-789c-44b5-8eb3-248781b0b4ad,Milligan University,423-461-8700,1 Blowers Blvd.,Milligan College,TN,37682,http://www.milligan.edu/,917.69794,25,607,589,520,3.75,0.99,882,428,Southeast,"Business, Management, Marketing, and Related Support Services:Parks, Recreation, Leisure, and Fitness Studies:Health Professions and Related Programs:Education:Psychology",0.75,9:1,private,campus,N/A,235 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
781,d88c24a8-c077-4e2f-a092-8a0cc21f14d3,Millikin University,217-424-6211,1184 W Main St,Decatur,IL,62522-2084,http://www.millikin.edu/,1009.54535,23,535,551,496,3.4,0.71,1995,88,Great Lakes,"Business, Management, Marketing, and Related Support Services:Visual and Performing Arts:Education:Health Professions and Related Programs:Parks, Recreation, Leisure, and Fitness Studies",0.75,10:1,private,city,N/A,75 acres,In His Plenitudo Vis,Presbyterian Church (U.S.A.),N/A,N/A,N/A,Blue & White,N/A,N/A,N/A,N/A,Nursing:Business:Music Performance:Drama and Theatre Production:Accounting:Biology:Communications:Elementary Education:Music Teacher Education:Physical Education Teaching and Coaching,"42,900",0.61,0.96,"23,312",0,0.25,Rolling Admissions,millikin.edu/apply,1080,1260,20988
782,fb27be01-a198-4194-b02a-62e089963caf,Millsaps College,601-974-1000,1701 N State St,Jackson,MS,39210,http://www.millsaps.edu/,926.331,25,592,602,540,3.67,0.69,780,41,Southeast,"Business, Management, Marketing, and Related Support Services:Biological and Biomedical Sciences:Psychology:Social Sciences:Visual and Performing Arts",0.78,9:1,private,city,N/A,100 acres,Ad Excellentiam (Latin):In pursuit of excellence,"United Methodist Church:Associated Colleges of the South:International Association of Methodist...d Schools, Colleges, and Universities:Annapolis Group",NCAA Division III,N/A,The Millsaps Major,Purple & White,985,N/A,N/A,N/A,Business:Biology:Accounting:Psychology:Biochemistry and Molecular Biology:Neuroscience and Neurobiology:Sociology:Communications:Geology and Earth Science:History,"48,100",0.67,0.91,"29,468",0,0.43,N/A,millsaps.edu/admissions/apply.php,1110,1320,23413
783,1d2c64b9-969d-434b-8492-6e01af890219,Mills College,510-430-2255,5000 MacArthur Blvd,Oakland,CA,94613-1000,http://www.mills.edu/,1016.97845,N/A,N/A,N/A,N/A,3.54,0.87,761,548,Far West,"Social Sciences:Business, Management, Marketing, and Related Support Services:English Language and Literature/Letters:Psychology:Multi/Interdisciplinary Studies",0.76,10:1,private,campus,N/A,135 acres,"'Una destinatio,:One destination,:many paths.:viae diversae.'' (Latin)",Oberlin Group:Consortium of Liberal Arts Colleges:Council of Independent Colleges,National Collegiate Athletic Association,List of Presidents of Mills College,Cyclones,N/A,1405,N/A,N/A,N/A,Psychology:English:Biology:Sociology:Economics:Minority and Ethnic Studies:Political Science and Government:Arts:Child Development:Nursing,"39,900",0.69,0.87,"35,560",50,N/A,Rolling Admissions,admissions.mills.edu/apply,925,1233,26086
784,dd41facb-79cf-4bc7-8c08-16469d43127b,Milwaukee School of Engineering,414-277-7300,1025 N Broadway,Milwaukee,WI,53202-3109,http://www.msoe.edu/,891.7986,28,660,624,N/A,3.7,0.62,2566,180,Great Lakes,"Engineering:Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services",0.85,13:1,private,campus,N/A,22 acres,N/A,N/A,N/A,N/A,Roscoe Raider (pirate),Red and white,2658,N/A,N/A,N/A,Mechanical Engineering:Electrical Engineering:Nursing:Computer Software Engineering:Architectural Engineering:Industrial Engineering:Chemical Engineering:Bioengineering and Biomedical Engineering:Business:Computer Hardware Engineering,"71,300",0.67,0.97,"25,716",0,0.15,Rolling Admissions,msoe.edu/apply-today,1150,1360,23793
785,0b95adf1-7fbb-40be-a9ec-05ae9641c29f,Minneapolis College of Art and Design,612-874-3700,2501 Stevens Ave,Minneapolis,MN,55404-4347,http://www.mcad.edu/,796.83453,23,495,570,530,3.24,0.59,709,87,Plains,"Visual and Performing Arts:Communications Technologies/Technicians and Support Services:Communication, Journalism, and Related Programs:Business, Management, Marketing, and Related Support Services:Precision Production",N/A,10:1,private,city,N/A,5 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Illustration:Animation, Video Graphics and Special Effects:Graphic Design:Entrepreneurship:Photography:Painting:Studio Arts:Interior Design:Digital Communication and Media/Multimedia:Printmaking","35,400",0.59,0.91,"20,621",50,N/A,N/A,mcad.edu/apply,950,1250,27182
786,3ef0ecf1-547b-4e6f-8473-d3083d5c7cf6,Minnesota State University Mankato,507-389-2463,South Rd and Ellis Ave,Mankato,MN,56001,http://mankato.mnsu.edu/,1405.4677,22,N/A,N/A,N/A,3.4,0.63,12450,0,Plains,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Education:Communication, Journalism, and Related Programs:Parks, Recreation, Leisure, and Fitness Studies",0.74,22:1,public,city,N/A,303 acres,Big Ideas. Real-world Thinking.,N/A,N/A,N/A,Stomper,Purple & Gold,17993,N/A,N/A,N/A,Nursing:Liberal Arts and Humanities:Communications:Psychology:Business:Police and Criminal Science:Elementary Education:Marketing:Biology:Finance,"44,900",0.48,0.96,"5,108",20,0.05,N/A,mnsu.edu/admissions/applynow.html,886,1106,13704
787,90235696-4964-4a1e-8227-6ac15cd6602d,Minnesota State University Moorhead,218-477-2161,1104 Seventh Avenue South,Moorhead,MN,56563,http://www.mnstate.edu/,1215.5397,N/A,N/A,N/A,N/A,3.37,0.6,4828,1032,Plains,"Education:Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Visual and Performing Arts:Biological and Biomedical Sciences",0.75,19:1,public,city,N/A,119 acres,"Sacrifice, Service, Loyalty",N/A,N/A,N/A,N/A,"Red, White, and Grey",8140,N/A,N/A,N/A,Elementary Education:Business:Nursing:Social Work and Youth Services:Criminal Justice and Safety Studies:Biology:Psychology:Kinesiology and Exercise Science:Communications:Finance,"40,600",0.46,0.95,"4,414",20,0.08,Rolling Admissions,mnstate.edu/apply,930,1180,15541
788,6ce929bd-56f5-4350-bc5b-01e6167f543a,Mid-Atlantic Christian University,252-334-2070,715 N Poindexter St,Elizabeth City,NC,27909-4054,http://www.macuniversity.edu/,736.4029,19,475,490,454,3.09,0.53,192,0,Southeast,N/A,N/A,N/A,private,campus,N/A,20 acres,Set for the Defense of the Gospel,Christian churches and churches of Christ,N/A,D. Clay Perkins,N/A,N/A,178,N/A,N/A,N/A,Biblical Studies:Religious Vocations:Business:Counseling Psychology:Elementary Education:Family Studies and Consumer Sciences,"30,800",0.25,0.9,"9,774",50,0.31,Rolling Admissions,macuniversity.edu/admissions/application-process,870,1060,17707
789,28a82686-a6bd-484f-afa9-6e637628b1a9,Middlebury College,802-443-5000,Old Chapel,Middlebury,VT,05753-6002,http://www.middlebury.edu/,982.44604,32,704,700,693,N/A,0.17,2579,95,New England,"Economics, General:Computer Science:Neuroscience:Political Science and Government, General:Environmental Studies",0.95,8:1,private,campus,N/A,350 acres,Knowledge and Virtue:Scientia et Virtus (Latin),568 Group:National Association of Independent Colleges and Universities:Oberlin Group:Consortium of Liberal Arts Colleges:Annapolis Group,NCAA Division III,Laurie L. Patton,N/A,Blue & White,N/A,N/A,N/A,N/A,Economics:Political Science and Government:Environmental Science:Neuroscience and Neurobiology:Psychology:Computer Science:Biochemistry and Molecular Biology:History:International Relations:English,"58,200",0.95,0.87,"43,491",65,0.25,January 1,middlebury.edu/admissions/apply,1320,1510,22841
790,16bb00f2-87a3-45f1-b913-18bf73e75a23,Middle Georgia State University,478-471-2700,100 College Station Drive,Macon,GA,31206,http://www.mga.edu/,870.2159,19,465,483,N/A,3.03,0.94,7355,0,Southeast,"Registered Nursing/Registered Nurse:Business Administration and Management, General:Computer and Information Sciences, General:Psychology, General:Aviation/Airway Management and Operations",0.61,22:1,public,campus,N/A,419 acres,N/A,N/A,N/A,N/A,Duke,"Purple, Gray, Black",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
791,81d7be4f-c1bc-44d6-86a7-ad16956c1450,Middle Tennessee State University,615-898-2300,1301 East Main Street,Murfreesboro,TN,37132,http://www.mtsu.edu/,1142.1583,23,N/A,N/A,N/A,3.54,0.94,19461,2260,Southeast,"Business, Management, Marketing, and Related Support Services:Visual and Performing Arts:Liberal Arts and Sciences, General Studies and Humanities:Communication, Journalism, and Related Programs:Biological and Biomedical Sciences",0.76,17:1,public,city,N/A,550 acres,Agriculture and Commerce,Association of Public and Land-Grant Universities:Oak Ridge Associated Universities,NCAA Division I,Sidney A. McPhee,Lightning,Royal blue & White,22729,N/A,N/A,N/A,Liberal Arts and Humanities:Communications:Music Management:Business:Psychology:Kinesiology and Exercise Science:Nursing:Biology:Criminal Justice and Law Enforcement Administration:Education,"38,700",0.44,0.93,"8,607",25,0.02,Rolling Admissions,mtsu.edu/applynow,990,1210,11916
792,cba21647-513b-4f98-973c-e6dd6e33b914,Midland College,432-685-4500,3600 N Garfield,Midland,TX,79705-6329,http://www.midland.edu/,762.3021,N/A,N/A,N/A,N/A,N/A,N/A,5512,0,Southwest,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Chaparral,Green and Yellow,7425,N/A,N/A,N/A,"Liberal Arts and Humanities:Nursing:Business:Medical Records Technician:Network, Database, and System Administration:Drafting and Design (CAD/CADD):Business Support Services:Fire Science and Fire Fighting:Welding:Cosmetology","38,300",0.19,0.84,"4,461",0,0.07,N/A,midland.edu/enrollment-aid/steps-enroll/index.php,0,0,9677
793,46403684-dad6-4d89-ae10-cf13c287394a,Milwaukee Institute of Art and Design,414-276-7889,273 E Erie St,Milwaukee,WI,53202-6003,http://www.miad.edu/,693.2374,N/A,N/A,N/A,N/A,3.08,0.68,870,0,Great Lakes,N/A,N/A,N/A,private,campus,N/A,2 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Graphic Design:Illustration:Studio Arts:Industrial and Product Design:Animation, Video Graphics and Special Effects:Printmaking:Photography:Drawing:Interior Architecture:Sculpture","33,300",0.53,0.91,"20,772",0,N/A,August 1,miad.edu/applynow,0,0,24850
794,506763a4-9e52-41c8-8581-40989e4089e4,Midland University,402-721-5480,900 N. Clarkson,Fremont,NE,68025-4200,http://www.midlandu.edu/,788.2015,21,N/A,N/A,N/A,3.26,0.52,827,0,Plains,N/A,0.62,N/A,private,campus,N/A,35 acres,N/A,Evangelical Lutheran Church in America:Great Plains Athletic Conference,N/A,N/A,Warriors,N/A,N/A,N/A,N/A,N/A,Business:Nursing:Education:Physical Education Teaching and Coaching:Biology:Police and Criminal Science:Psychology:Human Services:Mathematics:Fine and Studio Arts Management,"39,900",0.49,0.96,"18,348",0,0.69,Rolling Admissions,midlandu.edu/apply-admission,920,1070,23151
795,8201c418-5524-40b9-96c0-500d0f51c2f2,Midway University,859-846-4421,512 E. Stephens St,Midway,KY,40347-1120,http://www.midway.edu/,857.26624,21,485,465,475,3.25,0.6,1481,221,Southeast,"Business/Commerce, General:Health/Health Care Administration/Management:Education, General:Psychology, General:Sport and Fitness Administration/Management",0.77,17:1,private,campus,N/A,200 acres,Ama Vicinum Acte,Christian Church (Disciples of Christ),N/A,N/A,Eagles,N/A,124,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
796,58295e37-5b13-4b5f-9b5e-da3910bcd60b,Midwestern State University,940-397-4000,3410 Taft Blvd,Wichita Falls,TX,76308,http://www.mwsu.edu/,1051.5109,N/A,500,495,465,3.41,0.79,5372,597,Southwest,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Multi/Interdisciplinary Studies:Biological and Biomedical Sciences:Psychology",0.68,17:1,public,city,N/A,255 acres,Per Scientam ad Excellentiam:Through Knowledge to Excellence,Association of American Colleges and Universities:Council of Public Liberal Arts Colleges:Federation of North Texas Area Universities,National Collegiate Athletic Association,N/A,Maverick theMustang,Maroon and Gold,6043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
797,c3aab59b-2705-42a4-ba99-a2fca1334296,Miles College,205-929-1000,5500 Myron Massey Blvd,Fairfield,AL,35064,http://www.miles.edu/,736.4029,16,N/A,N/A,N/A,2.5,0.26,1738,0,Southeast,N/A,0.55,N/A,private,N/A,N/A,N/A,"""Knowledge and Peace and Love for all.""",United Negro College Fund:Southern Intercollegiate Athletic Conference:CME Church,NCAA,N/A,The Golden Bear,PurpleandGold,1823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
798,4544d603-029f-4e3e-8ffc-b2dc9cd3061b,Missouri University of Science and Technology,573-341-4111,1870 Miner Circle,Rolla,MO,65409,http://www.mst.edu/,1026.8115,27,639,576,N/A,3.95,0.79,6462,1634,Plains,Engineering:Computer and Information Sciences and Support Services:Engineering Technologies and Engineering-Related Fields:Biological and Biomedical Sciences:Physical Sciences,0.82,18:1,public,campus,N/A,284 acres,"(Latin, The Welfare of the People):Salus Populi",N/A,NCAA Division II,N/A,Joe Miner,"Silver, Gold and Green",8889,https://www.topuniversities.com/sites/default/files/missouri-university-of-science-and-technology_592560cf2aeae70239af51e4_small.jpg,N/A,171-180,Mechanical Engineering:Engineering:Information Science:Electrical Engineering:Chemical Engineering:Civil Engineering:Computer Hardware Engineering:Materials Engineering:Mining and Petroleum Engineering:Aerospace Engineering,"71,200",0.64,0.95,"8,975",50,0.06,February 1,futurestudents.mst.edu/admissions,1100,1340,14133
799,4ea9468e-b554-4dfe-aa96-49b3e7eb37dc,Missouri Valley College,660-831-4000,500 E College St,Marshall,MO,65340-3197,http://www.moval.edu/,900.4317,20,472,482,N/A,2.99,0.95,1740,28,Plains,N/A,0.43,13:1,private,campus,N/A,150 acres,N/A,Presbyterian Church (USA),National Association of Intercollegiate Athletics,N/A,N/A,Purple and Orange,1789,N/A,N/A,N/A,Kinesiology and Exercise Science:Business:Psychology:Criminal Justice and Law Enforcement Administration:Biology:Merchandising and Buying Operations:Agricultural Business:Education:Elementary Education:Finance,"34,000",0.29,0.91,"13,881",0,0.51,N/A,cacloudservices.com/apply/7220/caindex.cgi,790,900,20786
800,b6c20073-29d6-4338-8f43-5a10959426d9,Missouri Western State University,816-271-4200,4525 Downs Dr,St. Joseph,MO,64507-2294,http://www.missouriwestern.edu/,1029.9281,21,N/A,N/A,N/A,3.34,0.74,5465,68,Plains,N/A,0.65,N/A,public,campus,N/A,723 acres,Everything is Possible,N/A,N/A,N/A,Max the Griffon,Black and Gold,5795,N/A,N/A,N/A,Nursing:Liberal Arts and Humanities:Criminal Justice and Safety Studies:Biology:Psychology:Physical Education Teaching and Coaching:Elementary Education:Business:Early Childhood Education:Marketing,"34,400",0.29,0.91,"6,882",0,0.1,N/A,missouriwestern.edu/admissions/apply-for-admission,0,0,10467
801,ddd41cb5-957e-4046-b8a6-5170df0cc7e8,Mitchell College,860-701-5000,437 Pequot Avenue,New London,CT,06320-4498,http://www.mitchell.edu/,732.08636,N/A,N/A,N/A,N/A,N/A,0.74,723,0,New England,N/A,0.61,N/A,private,N/A,N/A,N/A,N/A,City University of New York Athletic Conference:New England Association of Schools and Colleges,NCAA,N/A,N/A,"red, white and black",778,N/A,N/A,N/A,Business:Liberal Arts and Humanities:Criminal Justice and Safety Studies:Sport and Fitness Management:Communications:Hospitality and Tourism Management:Homeland Security and Disaster Management:Psychology:Commercial and Advertising Art:Human Development,"32,000",0.4,0.9,"19,720",30,0.31,N/A,mitchell.edu/apply,0,0,25166
802,0e3ec0c1-2c4a-4b56-8065-223fb674e3fb,Molloy College,516-323-3000,1000 Hempstead Ave,Rockville Centre,NY,11571-5002,http://www.molloy.edu/,986.76263,25,575,576,521,3,0.78,3496,1617,Mid East,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Education:Biological and Biomedical Sciences:Visual and Performing Arts",0.87,10:1,private,campus,N/A,30 acres,Veritas,Dominican Order,N/A,N/A,Victor E. Lion,White and Cerise,4600,N/A,N/A,N/A,Nursing:Business:Psychology:Accounting:Communications:Special Education and Teaching:Biology:Social Work and Youth Services:Criminal Justice and Safety Studies:Respiratory Care Therapy,"60,500",0.72,0.94,"15,792",40,0.09,N/A,lionsden.molloy.edu/ics/admissions/apply_online.jnz,1060,1210,26977
803,31f71ce2-71f4-40e6-b9f5-88e65c7498d5,Monmouth College,309-457-2311,700 E Broadway,Monmouth,IL,61462-1998,http://www.monmouthcollege.edu/,891.7986,23,510,450,450,3.3,0.67,1033,0,Great Lakes,N/A,0.74,10:1,private,campus,N/A,112 acres,Lux (Latin):Light,Association of Presbyterian Colleges and Universities:Presbyterian Church (U.S.A.):Annapolis Group:Associated Colleges of the Midwest,National Collegiate Athletic Association,N/A,Big Red,Red and White,N/A,N/A,N/A,N/A,Business:Biology:Psychology:Elementary Education:Kinesiology and Exercise Science:Accounting:Communications:Economics:History:Physical Education Teaching and Coaching,"41,500",0.6,0.96,"27,809",0,0.37,N/A,ou.monmouthcollege.edu/admissions/apply/default.aspx,900,1090,18467
804,893c484e-e8d9-4b62-9c7d-29e5d58e1c97,Monmouth University,732-571-3400,400 Cedar Ave,West Long Branch,NJ,07764-1898,http://www.monmouth.edu/,1042.8778,23,524,511,510,3.47,0.77,4707,1664,Mid East,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Communication, Journalism, and Related Programs:Education:Social Sciences",0.8,12:1,private,campus,N/A,170 acres,N/A,National Association of Independent Colleges and Universities:Council of Independent Colleges,N/A,Paul R. Brown,N/A,Midnight Blue and White,N/A,N/A,N/A,N/A,Business:Communications:Education:Health Service Preparatory Studies:English:Psychology:Biology:Physical Education Teaching and Coaching:Social Work and Youth Services:Political Science and Government,"50,500",0.7,0.95,"19,726",50,0.13,N/A,monmouth.edu/apply-now,970,1190,31300
805,142994a5-79b7-4c3f-9efe-2a38cedc3086,Monroe College,718-933-6700,2501 Jerome Avenue,Bronx,NY,10468,http://www.monroecollege.edu/,775.25183,N/A,N/A,N/A,N/A,N/A,0.45,6137,725,Mid East,"Business, Management, Marketing, and Related Support Services:Health Professions and Related Programs:Homeland Security, Law Enforcement, Firefighting and Related Protective Services:Biological and Biomedical Sciences:Public Administration and Social Service Professions",0.79,15:1,proprietary,semester,N/A,N/A,N/A,N/A,N/A,N/A,Mustangs,BlueandGold,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
806,db27439c-b5ce-4b00-94dd-576f3c021610,Modesto Junior College,209-575-6498,435 College Ave,Modesto,CA,95350-5800,http://www.mjc.edu/,922.01447,N/A,N/A,N/A,N/A,N/A,N/A,19307,0,Far West,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Liberal Arts and Humanities:Natural Sciences:Child Care Provider:Business:Nursing Assistant:Nursing:Psychology:Emergency Medical Technician (EMT Paramedic):Medical Assistant:Police and Criminal Science,"30,800",0.19,0.78,"4,914",0,0.06,N/A,mjc.edu/studentservices/enrollment/admissions/applyforadmission.php,0,0,10194
807,715096eb-d612-4c8c-9367-381da6f04724,Montana State University,406-994-0211,Montana State University,Bozeman,MT,59717,http://www.montana.edu/,1163.7411,24,600,600,N/A,3.47,0.82,14817,1949,Rocky Mountains,N/A,0.77,18:1,public,city,N/A,N/A,Mountains & Minds,Big Sky Conference:National Collegiate Athletic Association,N/A,Waded Cruzado,Champ,BlueandGold,15688,https://www.topuniversities.com/sites/default/files/montana-state-university_592560cf2aeae70239af5197_small.jpg,N/A,251-300,Business:Nursing:Family Studies and Consumer Sciences:Mechanical Engineering:Elementary Education:Chemical Engineering:Liberal Arts and Humanities:Psychology:Civil Engineering:Biology,"43,200",0.54,0.92,"5,661",30,0.02,Rolling Admissions,montana.edu/wwwcat/appopts.html,1090,1300,15411
808,9e371401-f5e3-474e-b22c-071162eb1702,Montana State University Billings,406-657-2011,1500 University Drive,Billings,MT,59101,http://www.msubillings.edu/,1077.4102,21,450,480,N/A,3.22,1,3298,1017,Rocky Mountains,N/A,N/A,N/A,public,N/A,N/A,N/A,Access and Excellence,N/A,N/A,N/A,Yellowjackets,Blue and gold,N/A,N/A,N/A,N/A,Business:Liberal Arts and Humanities:Elementary Education:Nursing:Community Psychology:Welding:Healthcare Management:Instrumentation Technician:Licensed Practical Nurse Training (LPN):Psychology,"34,600",0.27,0.89,"5,033",30,0.09,N/A,applyweb.com/msubill/index.html,0,0,12503
809,1ded1789-7856-4833-929f-2f845c5c819e,Montana Technological University,406-496-4101,1300 W Park St,Butte,MT,59701-8997,http://www.mtech.edu/,848.6332,24,600,570,500,3.55,0.92,2200,221,Rocky Mountains,"Engineering, General:Petroleum Engineering:Mechanical Engineering:Business/Commerce, General:Registered Nursing/Registered Nurse",0.76,13:1,public,campus,N/A,108 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mining and Petroleum Engineering:Engineering:Nursing:Business:Public Health:Mechanical Engineering:Environmental Engineering:Civil Engineering:Materials Engineering:Electrical Engineering,"41,700",0.41,0.9,"6,405",30,0.12,August 10,mtech.edu/admissions/index.html,1120,1300,12104
810,bb694064-3153-4d3e-8436-c1975e781ccc,Montreat College,828-669-8012,310 Gaither Circle,Montreat,NC,28757-1267,http://www.montreat.edu/,827.05035,N/A,N/A,N/A,N/A,3.07,0.54,808,200,Southeast,N/A,0.6,N/A,private,campus,N/A,89 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Business:Psychology:Liberal Arts and Humanities:Communications:Parks, Recreation and Leisure Studies:Theological and Ministerial Studies:History:Biology:Environmental Science:Music History and Literature","37,000",0.32,0.93,"15,657",0,0.69,N/A,montreat.edu/admissions/apply,920,1150,21413
811,3bdd5022-c34f-4780-8cbb-a7437e77028f,Montserrat College of Art,978-922-8222,23 Essex Street,Beverly,MA,1915,http://www.montserrat.edu/,727.7698,15,494,536,527,2.93,0.79,397,0,New England,N/A,N/A,N/A,private,N/A,N/A,N/A,"""Where Creativity Works""",N/A,N/A,N/A,N/A,Silver and Blue,N/A,N/A,N/A,N/A,"Illustration:Graphic Design:Animation, Video Graphics and Special Effects:Painting:Photography:Printmaking:Sculpture:Liberal Arts and Humanities:Art Teacher Education:Arts","26,500",0.57,0.88,"16,530",50,N/A,Rolling Admissions,cafe.montserrat.edu/cafeweb/tapestry?service&page=bfa_application,0,0,28777
812,dd61dcc9-f985-4656-9b0b-1c8518868430,Moore College of Art & Design,215-965-4000,20th and the Parkway,Philadelphia,PA,19103,http://www.moore.edu/,745.03595,18,466,511,N/A,3.24,0.56,406,34,Mid East,N/A,N/A,N/A,private,campus,N/A,4 acres,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Illustration:Graphic Design:Fashion and Apparel Design:Studio Arts:Interior Design:Photography:Art Teacher Education,"33,300",0.57,0.9,"17,153",60,N/A,Rolling Admissions,moore.edu/admissions/how-to-apply,1130,1150,38073
813,fa846b4a-84ed-4ae4-9818-4a95885f529e,Moody Bible Institute,312-329-4000,820 N LaSalle Blvd,Chicago,IL,60610-3284,http://www.moody.edu/,701.87054,N/A,N/A,N/A,N/A,3.37,0.89,2928,421,Great Lakes,"Communication and Media Studies, Other:Religious Education:Bible/Biblical Studies:Bible/Biblical Studies:Youth Ministry",N/A,20:1,private,tuition,N/A,N/A,"Study to show thyself approved unto God, a workman that needeth not to be ashamed, rightly dividing the word of truth. 2 Timothy 2:15",N/A,National Christian College Athletic Association,Paul Nyquist,Archers,BlueandWhite,3985,N/A,N/A,N/A,Biblical Studies:Missionary Studies:Pastoral Counseling and Specialized Ministries:Religious Education:Theological and Ministerial Studies:Religious Vocations:Communications:Aircraft Maintenance:Teaching English as a Second Language,N/A,0.59,0.88,"9,118",50,0.03,N/A,moody.edu/chicago/apply,0,0,17606
814,9e9c906b-5971-4b3e-bd53-bb10f0decade,Moravian College,610-861-1300,1200 Main St,Bethlehem,PA,18018-6650,http://www.moravian.edu/,1029.9281,24,558,570,496,3.55,0.75,2073,522,Mid East,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Social Sciences:Visual and Performing Arts:Psychology",0.81,11:1,private,city,N/A,85 acres,Via Lucis (The Way of Light),N/A,N/A,N/A,N/A,BlueandGrey,N/A,N/A,N/A,N/A,Nursing:Business:Sociology:Psychology:Arts:Economics:Accounting:Biology:Music History and Literature:Computer Science,"51,100",0.63,0.93,"25,900",0,0.22,March 1,moravian.edu/apply,1010,1210,28193
815,6127a840-a5c3-447e-b24c-ce346eef68d5,Minot State University,701-858-3000,500 University Ave W,Minot,ND,58707-0002,http://www.minotstateu.edu/,1055.8274,21,522,518,N/A,3.41,0.74,2832,289,Plains,"Business Administration and Management, General:Education, General:Registered Nursing/Registered Nurse:Social Work:Corrections",0.7,11:1,public,city,N/A,102 acres,N/A,N/A,Northern Sun Intercollegiate Conference:NCAA Division II,N/A,"Buckshot, the Beaver",Red and Green,2279,N/A,N/A,N/A,Business:Nursing:Elementary Education:Social Work and Youth Services:Criminal Justice and Safety Studies:Marketing:Liberal Arts and Humanities:Special Education and Teaching:Finance:Psychology,"41,200",0.37,0.91,"4,828",35,0.17,Rolling Admissions,minotstateu.edu/enroll/apply.shtml,1000,1240,10252
816,bc1f9fe9-36af-4149-bd6a-96a4ccee0922,MiraCosta College,760-757-2121,One Barnard Drive,Oceanside,CA,92056,http://www.miracosta.edu/,1021.29504,N/A,N/A,N/A,N/A,N/A,N/A,14687,0,Far West,N/A,N/A,N/A,public,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
817,15d55294-3ce4-44c8-81fe-9816d2452e5b,Misericordia University,570-674-6400,301 Lake St,Dallas,PA,18612-1098,http://www.misericordia.edu/,917.69794,25,570,565,N/A,3.4,0.86,1964,580,Mid East,"Health Professions and Related Programs:Business, Management, Marketing, and Related Support Services:Education:Biological and Biomedical Sciences:Social Sciences",0.82,10:1,private,campus,N/A,129 acres,N/A,Association of Catholic Colleges and Universities:Roman Catholic Church:National Association of Independent Colleges and Universities:Council of Independent Colleges,National Collegiate Athletic Association,N/A,Cougar,Blue and Yellow,3196,N/A,N/A,N/A,"Health Service Preparatory Studies:Business:Nursing:Nursing Science, Education, and Practice:Psychology:Radiation Therapy:Healthcare Management:Political Science and Government:Liberal Arts and Humanities:Sonographer and Ultrasound Technician","50,400",0.76,0.95,"18,572",35,0.33,N/A,misericordia.edu/apply,1030,1200,25933
